央视高清,#genre#
CCTV1综合,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls74a1.m3u8
CCTV2财经,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls74a2.m3u8
CCTV3综艺,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls74a3.m3u8
CCTV4中文国际,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls74a4.m3u8
CCTV5体育,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls73a5.m3u8
CCTV5+体育赛事,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls73a6.m3u8
CCTV6电影,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/jlu_cctv6hd.m3u8
CCTV7国防军事,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls73a8.m3u8
CCTV8电视剧,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls72a9.m3u8
CCTV9纪录,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls72a10.m3u8
CCTV10科教,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls72a11.m3u8
CCTV11戏曲,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls186a11.m3u8
CCTV12社会与法,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls72a12.m3u8
CCTV13新闻,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls186a13.m3u8
CCTV14少儿,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls71a13.m3u8
CCTV15音乐,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls186a15.m3u8
CCTV17农业农村,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls185a17.m3u8
CETV1,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls67a45.m3u8
CGTN,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls185a571.m3u8
CGTN纪录,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls67a44.m3u8
CCTV电视指南,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls186a88.m3u8
CCTV央视文化精品,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a520.m3u8
CCTV世界地理,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a515.m3u8
CCTV第一剧场,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a512.m3u8
CCTV怀旧剧场,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a518.m3u8
CCTV风云剧场,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a516.m3u8
CCTV风云足球,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a510.m3u8
